X,Y,OBJECTID,evt_rt,evt_rin,evt_date,location,zone,rucr,rucr_ext_d
-63.624272425,44.6483473920001,3230,GO,1113119,2020/12/25 00:00:00,OLIVET ST,W3,2142,THEFT FROM VEHICLE
-63.615063672,44.6663296350001,3231,GO,1112862,2020/12/25 00:00:00,BRIGHT ST,C5,2120,BREAK AND ENTER
-63.640825734,44.6498833220001,3232,GO,1112842,2020/12/25 00:00:00,SUNNYBRAE AVE,W3,1430,ASSAULT
-63.6125162609999,44.6032800140001,3233,GO,1112829,2020/12/25 00:00:00,HILDEN DR,W1,1420,ASSAULT
-63.157510292,44.7834458930001,3234,GO,1112819,2020/12/25 00:00:00,HIGHWAY 7,MUS,1430,ASSAULT
-63.490259752,44.680910575,3235,GO,1112837,2020/12/25 00:00:00,CHAMEAU CRES,FOR,1430,ASSAULT
-63.647662334,44.7321939450001,3236,GO,1112798,2020/12/25 00:00:00,PARKVALE CRES,W6,1430,ASSAULT
-63.611616286,44.6027324710001,3237,GO,1112791,2020/12/25 00:00:00,HERRING COVE RD / GREYSTONE DR,W1,1430,ASSAULT
-63.594292246,44.6425390800001,3238,GO,1113135,2020/12/25 00:00:00,WALNUT ST,C2,2142,THEFT FROM VEHICLE
-63.594485187,44.6409087690001,3239,GO,1113129,2020/12/25 00:00:00,CHESTNUT ST,C2,2142,THEFT FROM VEHICLE
-63.589096597,44.6752494020001,3240,GO,1112800,2020/12/25 00:00:00,WALLACE ST,E5,2120,BREAK AND ENTER
-63.602682391,44.6451144980001,3241,GO,1112838,2020/12/25 00:00:00,BEECH ST,C2,2135,THEFT OF VEHICLE
-63.601731889,44.6453845080001,3242,GO,1112787,2020/12/25 00:00:00,KLINE ST,C2,2132,THEFT FROM VEHICLE
-63.578098047,44.643384886,3243,GO,1113136,2020/12/25 00:00:00,DRESDEN ROW,C4,2142,THEFT FROM VEHICLE
-63.5801915229999,44.6352200060001,3244,GO,1112945,2020/12/26 00:00:00,WELLINGTON ST,C1,2132,THEFT FROM VEHICLE
-63.596093541,44.6503062200001,3245,GO,1112936,2020/12/26 00:00:00,CHEBUCTO RD,C2,1610,ROBBERY
-63.619144568,44.6603713540001,3246,GO,1112876,2020/12/26 00:00:00,WINDSOR ST,C3,1420,ASSAULT
-63.5427265439999,44.666045571,3247,GO,1113128,2020/12/26 00:00:00,GASTON RD,E2,2142,THEFT FROM VEHICLE
-63.5318530059999,44.6569696780001,3248,GO,1112901,2020/12/26 00:00:00,BAKER DR,E2,2120,BREAK AND ENTER
-63.569088821,44.64305303,3249,GO,1112943,2020/12/26 00:00:00,LOWER WATER ST,C1,1430,ASSAULT
-63.5908204529999,44.6331513740001,3250,GO,1112904,2020/12/26 00:00:00,OAKLAND RD,C1,2135,THEFT OF VEHICLE
-63.661946552,44.679254111,3251,GO,1112802,2020/12/25 00:00:00,ROCKHAVEN DR,W5,1430,ASSAULT
-63.566565538,44.6681980060001,3252,GO,1112924,2020/12/26 00:00:00,OCHTERLONEY ST,E4,2120,BREAK AND ENTER
-63.694414203,44.640009606,3253,GO,1112882,2020/12/26 00:00:00,RAINES MILL RD,BLT,1430,ASSAULT
-63.624783956,44.778557607,3254,GO,1112851,2020/12/25 00:00:00,REGWOOD DR,FAL,1430,ASSAULT
-63.560829081,44.668221035,3255,GO,1112937,2020/12/26 00:00:00,PORTLAND ST,E2,2120,BREAK AND ENTER
-63.584691092,44.68108757,3256,GO,1113642,2020/12/27 00:00:00,JACKSON RD,E5,2132,THEFT FROM VEHICLE
-63.492407246,44.6920233390001,3257,GO,1112976,2020/12/27 00:00:00,TARANAKI DR,FOR,1430,ASSAULT
-63.59514109,44.654944894,3258,GO,1112975,2020/12/27 00:00:00,ROBIE ST,C5,2135,THEFT OF VEHICLE
-63.5718376459999,44.6355017060001,3259,GO,1112989,2020/12/27 00:00:00,INGLIS ST,C1,1610,ROBBERY
-63.96345702,44.67174112,3260,GO,1113156,2020/12/27 00:00:00,ST MARGARETS BAY RD,HUB,2120,BREAK AND ENTER
-63.6166372129999,44.8138315750001,3261,GO,1113079,2020/12/27 00:00:00,FALL RIVER RD,FAL,1430,ASSAULT
-63.674014434,44.731915579,3262,GO,1112995,2020/12/27 00:00:00,BASINVIEW DR,W6,1430,ASSAULT
-63.507449897,44.675998613,3263,GO,1113064,2020/12/27 00:00:00,BELL ST,E1,1430,ASSAULT
-63.615050173,44.6410038880001,3264,GO,1112801,2020/12/25 00:00:00,QUINPOOL RD,C2,1420,ASSAULT
-63.595016145,44.646067026,3265,GO,1113066,2020/12/27 00:00:00,PLEASURES N TREASURES,C2,1430,ASSAULT
-63.5661297309999,44.6724124470001,3266,GO,1113059,2020/12/27 00:00:00,DAHLIA ST,E4,2120,BREAK AND ENTER
-63.605344125,44.624972503,3267,GO,1112994,2020/12/27 00:00:00,PURCELLS COVE RD,W2,1430,ASSAULT
-63.57410064,44.6338062080001,3268,GO,1113030,2020/12/27 00:00:00,MCLEAN ST,C1,2132,THEFT FROM VEHICLE
-63.586243925,44.68572047,3269,GO,1112993,2020/12/27 00:00:00,PINECREST DR,E5,2120,BREAK AND ENTER
-63.713466704,44.538443929,3270,GO,1113162,2020/12/28 00:00:00,BROOKSIDE RD,PRO,1420,ASSAULT
-63.59628822,44.658146028,3271,GO,1113219,2020/12/28 00:00:00,BLOOMFIELD ST,C5,1430,ASSAULT
-63.544453457,44.676465733,3272,GO,1113147,2020/12/28 00:00:00,REGENT DR,E3,2135,THEFT OF VEHICLE
-63.683282272,44.7853546430001,3273,GO,1113203,2020/12/28 00:00:00,SPINNER CRES,SAC,1430,ASSAULT
-63.603278398,44.6579478150001,3274,GO,1113167,2020/12/28 00:00:00,MONAGHAN DR,C5,2120,BREAK AND ENTER
-63.485789385,44.681409086,3275,GO,1113106,2020/12/28 00:00:00,ARKLOW DR,FOR,1430,ASSAULT
-63.633735,44.6579107430001,3276,GO,1113102,2020/12/28 00:00:00,SUPREME CRT,W3,2120,BREAK AND ENTER
-63.591524748,44.646200396,3277,GO,1113171,2020/12/28 00:00:00,PEPPERELL ST,C2,2142,THEFT FROM VEHICLE
-63.574683304,44.651781801,3278,GO,1112905,2020/12/26 00:00:00,UPPER WATER ST,C4,2120,BREAK AND ENTER
-63.5604379439999,44.705571611,3279,GO,1112979,2020/12/27 00:00:00,CROMARTY DR,E6,1430,ASSAULT
-63.599257054,44.6672827450001,3280,GO,1113224,2020/12/28 00:00:00,RICHMOND ST,C5,1430,ASSAULT
-63.662607866,44.6962207290001,3281,GO,1113105,2020/12/28 00:00:00,CHARLOTTE LANE,W5,1430,ASSAULT
-63.439384342,44.7233492620001,3282,GO,1113160,2020/12/28 00:00:00,UPPER GOVERNOR ST,PRC,2135,THEFT OF VEHICLE
-63.622341826,44.6356697750001,3283,GO,1112984,2020/12/27 00:00:00,HERRING COVE RD,W2,1610,ROBBERY
-63.5863843609999,44.6541499570001,3284,GO,1113344,2020/12/29 00:00:00,GOTTINGEN ST,C4,2120,BREAK AND ENTER
-63.619131307,44.6231506510001,3285,GO,1113335,2020/12/29 00:00:00,MONT ST,W1,2120,BREAK AND ENTER
-63.599551815,44.651376138,3286,GO,1113246,2020/12/29 00:00:00,NORTH ST,C3,1460,ASSAULT
-63.6376012539999,44.6495036910001,3287,GO,1112790,2020/12/25 00:00:00,SCHOOL AVE,W3,1420,ASSAULT
-63.620605908,44.648178929,3288,GO,1112872,2020/12/25 00:00:00,MUMFORD RD,C3,1430,ASSAULT
-63.819922478,44.7180084350001,3289,GO,1113455,2020/12/29 00:00:00,CHLOE LANE,HAM,1430,ASSAULT
-63.583532652,44.654305349,3290,GO,1113381,2020/12/29 00:00:00,BRUNSWICK ST,C4,1610,ROBBERY
-63.5576227179999,44.66731767,3291,GO,1113307,2020/12/29 00:00:00,PLEASANT ST,E2,2142,THEFT FROM VEHICLE
-63.570393023,44.6667869360001,3292,GO,1113751,2020/12/30 00:00:00,ALDERNEY DR,E4,1430,ASSAULT
-63.59514109,44.654944894,3293,GO,1113722,2020/12/30 00:00:00,ROBIE ST,C5,2135,THEFT OF VEHICLE
-63.553154642,44.668875944,3294,GO,1113310,2020/12/29 00:00:00,SUMMIT ST,E3,2142,THEFT FROM VEHICLE
-63.567797153,44.673439768,3295,GO,1113506,2020/12/28 00:00:00,ROSE ST,E4,2120,BREAK AND ENTER
-63.677367331,44.77725229,3296,GO,1113710,2020/12/30 00:00:00,LYNNVILLE DR,SAC,1430,ASSAULT
-63.587046916,44.656240886,3297,GO,1113703,2020/12/30 00:00:00,BRUNSWICK ST,C4,1420,ASSAULT
-63.622341826,44.6356697750001,3298,GO,1113718,2020/12/30 00:00:00,HERRING COVE RD,W2,1610,ROBBERY
-63.717125569,44.7131419770001,3299,GO,1113691,2020/12/30 00:00:00,BLUEWATER RD,W6,2135,THEFT OF VEHICLE
-63.5554030069999,44.6644647590001,3300,GO,1113382,2020/12/29 00:00:00,NEWCASTLE ST,E2,2142,THEFT FROM VEHICLE
-63.566286276,44.6659173100001,3301,GO,1113548,2020/12/30 00:00:00,PORTLAND ST,E3,2120,BREAK AND ENTER
-63.5536602449999,44.666705279,3302,GO,1113769,2020/12/31 00:00:00,BLINK BONNIE TERR,E2,2132,THEFT FROM VEHICLE
-63.589629171,44.6542667910001,3303,GO,1113705,2020/12/30 00:00:00,MAYNARD ST,C4,1430,ASSAULT
-63.68420509,44.717851201,3304,GO,1113765,2020/12/31 00:00:00,HAMMONDS PLAINS RD,W6,1430,ASSAULT
-63.602682391,44.6451144980001,3305,GO,1112810,2020/12/25 00:00:00,BEECH ST,C2,2120,BREAK AND ENTER
-63.684160075,44.7799463420001,3306,GO,1113690,2020/12/30 00:00:00,RANKIN DR,SAC,1430,ASSAULT
-63.547439331,44.658524937,3307,GO,1113197,2020/12/28 00:00:00,RENFREW ST,E2,2132,THEFT FROM VEHICLE
-63.5377592299999,44.682272332,3308,GO,1113546,2020/12/30 00:00:00,MAIN ST,E7,2120,BREAK AND ENTER
